Name,fibered,lambda,seifert_genus,ranks,total_rank,L_space_knot,epsilon,modulus,nu,tau
K3a1,True,0,1,"{(-1, -2): 1, (0, -1): 1, (1, 0): 1}",3,True,1,2,1,1
K4a1,True,1,1,"{(-1, -1): 1, (0, 0): 3, (1, 1): 1}",5,False,0,2,0,0
K5a1,True,0,2,"{(-2, -4): 1, (-1, -3): 1, (0, -2): 1, (1, -1): 1, (2, 0): 1}",5,True,1,2,2,2
K5a2,False,NaN,1,"{(-1, -2): 2, (0, -1): 3, (1, 0): 2}",7,False,1,2,1,1
K6a1,False,NaN,1,"{(-1, -1): 2, (0, 0): 5, (1, 1): 2}",9,False,0,2,0,0
K6a2,True,1,2,"{(-2, -3): 1, (-1, -2): 3, (0, -1): 3, (1, 0): 3, (2, 1): 1}",11,False,1,2,1,1
K6a3,True,2,2,"{(-2, -2): 1, (-1, -1): 3, (0, 0): 5, (1, 1): 3, (2, 2): 1}",13,False,0,2,0,0
K7a1,True,0,3,"{(-3, -6): 1, (-2, -5): 1, (-1, -4): 1, (0, -3): 1, (1, -2): 1, (2, -1): 1, (3, 0): 1}",7,True,1,2,3,3
K7a2,False,NaN,1,"{(-1, -2): 3, (0, -1): 5, (1, 0): 3}",11,False,1,2,1,1
K7a3,False,NaN,2,"{(-2, -4): 2, (-1, -3): 3, (0, -2): 3, (1, -1): 3, (2, 0): 2}",13,False,1,2,2,2
K7a4,False,NaN,1,"{(-1, -2): 4, (0, -1): 7, (1, 0): 4}",15,False,1,2,1,1
K7a5,False,NaN,2,"{(-2, -4): 2, (-1, -3): 4, (0, -2): 5, (1, -1): 4, (2, 0): 2}",17,False,1,2,2,2
K7a6,True,1,2,"{(-2, -3): 1, (-1, -2): 5, (0, -1): 7, (1, 0): 5, (2, 1): 1}",19,False,1,2,1,1
K7a7,True,2,2,"{(-2, -2): 1, (-1, -1): 5, (0, 0): 9, (1, 1): 5, (2, 2): 1}",21,False,0,2,0,0
K8a1,False,NaN,1,"{(-1, -1): 3, (0, 0): 7, (1, 1): 3}",13,False,0,2,0,0
K8a2,True,1,3,"{(-3, -5): 1, (-2, -4): 3, (-1, -3): 3, (0, -2): 3, (1, -1): 3, (2, 0): 3, (3, 1): 1}",17,False,1,2,2,2
K8a3,False,NaN,1,"{(-1, -1): 4, (0, 0): 9, (1, 1): 4}",17,False,0,2,0,0
K8a4,False,NaN,2,"{(-2, -1): 2, (-1, 0): 5, (0, 1): 5, (1, 2): 5, (2, 3): 2}",19,False,-1,2,0,-1
K8a5,True,1,3,"{(-3, -5): 1, (-2, -4): 3, (-1, -3): 4, (0, -2): 5, (1, -1): 4, (2, 0): 3, (3, 1): 1}",21,False,1,2,2,2
K8a6,False,NaN,2,"{(-2, -3): 2, (-1, -2): 6, (0, -1): 7, (1, 0): 6, (2, 1): 2}",23,False,1,2,1,1
K8a7,True,4,3,"{(-3, -2): 1, (-2, -1): 3, (-1, 0): 5, (0, 1): 5, (1, 2): 5, (2, 3): 3, (3, 4): 1}",23,False,-1,2,0,-1
K8a8,False,NaN,2,"{(-2, -2): 2, (-1, -1): 6, (0, 0): 9, (1, 1): 6, (2, 2): 2}",25,False,0,2,0,0
K8a9,True,3,3,"{(-3, -3): 1, (-2, -2): 3, (-1, -1): 5, (0, 0): 7, (1, 1): 5, (2, 2): 3, (3, 3): 1}",25,False,0,2,0,0
K8a10,True,4,3,"{(-3, -2): 1, (-2, -1): 3, (-1, 0): 6, (0, 1): 7, (1, 2): 6, (2, 3): 3, (3, 4): 1}",27,False,-1,2,0,-1
K8a11,False,NaN,2,"{(-2, -3): 2, (-1, -2): 7, (0, -1): 9, (1, 0): 7, (2, 1): 2}",27,False,1,2,1,1
K8a12,True,2,2,"{(-2, -2): 1, (-1, -1): 7, (0, 0): 13, (1, 1): 7, (2, 2): 1}",29,False,0,2,0,0
K8a13,False,NaN,2,"{(-2, -2): 2, (-1, -1): 7, (0, 0): 11, (1, 1): 7, (2, 2): 2}",29,False,0,2,0,0
K8a14,False,NaN,2,"{(-2, -3): 2, (-1, -2): 8, (0, -1): 11, (1, 0): 8, (2, 1): 2}",31,False,1,2,1,1
K8a15,False,NaN,2,"{(-2, -4): 3, (-1, -3): 8, (0, -2): 11, (1, -1): 8, (2, 0): 3}",33,False,1,2,2,2
K8a16,True,4,3,"{(-3, -2): 1, (-2, -1): 4, (-1, 0): 8, (0, 1): 9, (1, 2): 8, (2, 3): 4, (3, 4): 1}",35,False,-1,2,0,-1
K8a17,True,3,3,"{(-3, -3): 1, (-2, -2): 4, (-1, -1): 8, (0, 0): 11, (1, 1): 8, (2, 2): 4, (3, 3): 1}",37,False,0,2,0,0
K8a18,True,3,3,"{(-3, -3): 1, (-2, -2): 5, (-1, -1): 10, (0, 0): 13, (1, 1): 10, (2, 2): 5, (3, 3): 1}",45,False,0,2,0,0
K8n1,True,0,3,"{(-3, -6): 1, (-2, -5): 1, (0, -2): 1, (2, -1): 1, (3, 0): 1}",5,True,1,2,3,3
K8n2,True,2,2,"{(-2, -2): 1, (-1, -1): 2, (0, 0): 3, (1, 1): 2, (2, 2): 1}",9,False,0,2,0,0
K8n3,True,1,2,"{(-2, -3): 1, (-1, -2): 4, (0, -1): 5, (1, 0): 4, (2, 1): 1}",15,False,1,2,1,1
K9a1,True,0,4,"{(-4, -8): 1, (-3, -7): 1, (-2, -6): 1, (-1, -5): 1, (0, -4): 1, (1, -3): 1, (2, -2): 1, (3, -1): 1, (4, 0): 1}",9,True,1,2,4,4
K9a2,False,NaN,1,"{(-1, -2): 4, (0, -1): 7, (1, 0): 4}",15,False,1,2,1,1
K9a3,False,NaN,3,"{(-3, -6): 2, (-2, -5): 3, (-1, -4): 3, (0, -3): 3, (1, -2): 3, (2, -1): 3, (3, 0): 2}",19,False,1,2,3,3
K9a4,False,NaN,2,"{(-2, -4): 3, (-1, -3): 5, (0, -2): 5, (1, -1): 5, (2, 0): 3}",21,False,1,2,2,2
K9a5,False,NaN,1,"{(-1, -2): 6, (0, -1): 11, (1, 0): 6}",23,False,1,2,1,1
K9a6,False,NaN,3,"{(-3, -6): 2, (-2, -5): 4, (-1, -4): 5, (0, -3): 5, (1, -2): 5, (2, -1): 4, (3, 0): 2}",27,False,1,2,3,3
K9a7,False,NaN,2,"{(-2, -4): 3, (-1, -3): 7, (0, -2): 9, (1, -1): 7, (2, 0): 3}",29,False,1,2,2,2
K9a8,False,NaN,2,"{(-2, -3): 2, (-1, -2): 8, (0, -1): 11, (1, 0): 8, (2, 1): 2}",31,False,1,2,1,1
K9a9,False,NaN,3,"{(-3, -6): 2, (-2, -5): 4, (-1, -4): 6, (0, -3): 7, (1, -2): 6, (2, -1): 4, (3, 0): 2}",31,False,1,2,3,3
K9a10,False,NaN,2,"{(-2, -4): 4, (-1, -3): 8, (0, -2): 9, (1, -1): 8, (2, 0): 4}",33,False,1,2,2,2
K9a11,True,5,3,"{(-3, -1): 1, (-2, 0): 5, (-1, 1): 7, (0, 2): 7, (1, 3): 7, (2, 4): 5, (3, 5): 1}",33,False,-1,2,-1,-2
K9a12,False,NaN,2,"{(-2, -3): 2, (-1, -2): 9, (0, -1): 13, (1, 0): 9, (2, 1): 2}",35,False,1,2,1,1
K9a13,False,NaN,2,"{(-2, -4): 4, (-1, -3): 9, (0, -2): 11, (1, -1): 9, (2, 0): 4}",37,False,1,2,2,2
K9a14,False,NaN,2,"{(-2, -2): 2, (-1, -1): 9, (0, 0): 15, (1, 1): 9, (2, 2): 2}",37,False,0,2,0,0
K9a15,False,NaN,2,"{(-2, -1): 2, (-1, 0): 10, (0, 1): 15, (1, 2): 10, (2, 3): 2}",39,False,-1,2,0,-1
K9a16,False,NaN,3,"{(-3, -6): 2, (-2, -5): 5, (-1, -4): 8, (0, -3): 9, (1, -2): 8, (2, -1): 5, (3, 0): 2}",39,False,1,2,3,3
K9a17,True,2,3,"{(-3, -4): 1, (-2, -3): 5, (-1, -2): 9, (0, -1): 9, (1, 0): 9, (2, 1): 5, (3, 2): 1}",39,False,1,2,1,1
K9a18,False,NaN,2,"{(-2, -4): 4, (-1, -3): 10, (0, -2): 13, (1, -1): 10, (2, 0): 4}",41,False,1,2,2,2
K9a19,False,NaN,2,"{(-2, -2): 2, (-1, -1): 10, (0, 0): 17, (1, 1): 10, (2, 2): 2}",41,False,0,2,0,0
K9a20,True,1,3,"{(-3, -5): 1, (-2, -4): 5, (-1, -3): 9, (0, -2): 11, (1, -1): 9, (2, 0): 5, (3, 1): 1}",41,False,1,2,2,2
K9a21,False,NaN,2,"{(-2, -1): 2, (-1, 0): 11, (0, 1): 17, (1, 2): 11, (2, 3): 2}",43,False,-1,2,0,-1
K9a22,True,2,3,"{(-3, -4): 1, (-2, -3): 5, (-1, -2): 10, (0, -1): 11, (1, 0): 10, (2, 1): 5, (3, 2): 1}",43,False,1,2,1,1
K9a23,False,NaN,2,"{(-2, -4): 4, (-1, -3): 11, (0, -2): 15, (1, -1): 11, (2, 0): 4}",45,False,1,2,2,2
K9a24,True,3,3,"{(-3, -3): 1, (-2, -2): 5, (-1, -1): 10, (0, 0): 13, (1, 1): 10, (2, 2): 5, (3, 3): 1}",45,False,0,2,0,0
K9a25,False,NaN,2,"{(-2, -3): 3, (-1, -2): 12, (0, -1): 17, (1, 0): 12, (2, 1): 3}",47,False,1,2,1,1
K9a26,True,4,3,"{(-3, -2): 1, (-2, -1): 5, (-1, 0): 11, (0, 1): 13, (1, 2): 11, (2, 3): 5, (3, 4): 1}",47,False,-1,2,0,-1
K9a27,True,3,3,"{(-3, -3): 1, (-2, -2): 5, (-1, -1): 11, (0, 0): 15, (1, 1): 11, (2, 2): 5, (3, 3): 1}",49,False,0,2,0,0
K9a28,True,2,3,"{(-3, -4): 1, (-2, -3): 5, (-1, -2): 12, (0, -1): 15, (1, 0): 12, (2, 1): 5, (3, 2): 1}",51,False,1,2,1,1
K9a29,True,4,3,"{(-3, -2): 1, (-2, -1): 5, (-1, 0): 12, (0, 1): 15, (1, 2): 12, (2, 3): 5, (3, 4): 1}",51,False,-1,2,0,-1
K9a30,True,3,3,"{(-3, -3): 1, (-2, -2): 5, (-1, -1): 12, (0, 0): 17, (1, 1): 12, (2, 2): 5, (3, 3): 1}",53,False,0,2,0,0
K9a31,True,2,3,"{(-3, -4): 1, (-2, -3): 5, (-1, -2): 13, (0, -1): 17, (1, 0): 13, (2, 1): 5, (3, 2): 1}",55,False,1,2,1,1
K9a32,True,4,3,"{(-3, -2): 1, (-2, -1): 6, (-1, 0): 14, (0, 1): 17, (1, 2): 14, (2, 3): 6, (3, 4): 1}",59,False,-1,2,0,-1
K9a33,True,3,3,"{(-3, -3): 1, (-2, -2): 6, (-1, -1): 14, (0, 0): 19, (1, 1): 14, (2, 2): 6, (3, 3): 1}",61,False,0,2,0,0
K9a34,True,3,3,"{(-3, -3): 1, (-2, -2): 6, (-1, -1): 16, (0, 0): 23, (1, 1): 16, (2, 2): 6, (3, 3): 1}",69,False,0,2,0,0
K9a35,False,NaN,1,"{(-1, -2): 7, (0, -1): 13, (1, 0): 7}",27,False,1,2,1,1
K9a36,True,5,3,"{(-3, -1): 1, (-2, 0): 5, (-1, 1): 8, (0, 2): 9, (1, 3): 8, (2, 4): 5, (3, 5): 1}",37,False,-1,2,-1,-2
K9a37,False,NaN,2,"{(-2, -2): 2, (-1, -1): 11, (0, 0): 19, (1, 1): 11, (2, 2): 2}",45,False,0,2,0,0
K9a38,False,NaN,2,"{(-2, -4): 5, (-1, -3): 14, (0, -2): 19, (1, -1): 14, (2, 0): 5}",57,False,1,2,2,2
K9a39,False,NaN,2,"{(-2, -1): 3, (-1, 0): 14, (0, 1): 21, (1, 2): 14, (2, 3): 3}",55,False,-1,2,0,-1
K9a40,True,2,3,"{(-3, -4): 1, (-2, -3): 7, (-1, -2): 18, (0, -1): 23, (1, 0): 18, (2, 1): 7, (3, 2): 1}",75,False,1,2,1,1
K9a41,False,NaN,2,"{(-2, -2): 3, (-1, -1): 12, (0, 0): 19, (1, 1): 12, (2, 2): 3}",49,False,0,2,0,0
K9n1,True,3,2,"{(-2, -1): 1, (-1, 0): 2, (0, 0): 1, (0, 1): 2, (1, 2): 2, (2, 3): 1}",9,False,0,2,0,0
K9n2,True,1,3,"{(-3, -5): 1, (-2, -4): 3, (-1, -3): 2, (0, -2): 1, (1, -1): 2, (2, 0): 3, (3, 1): 1}",13,False,1,2,2,2
K9n3,True,2,2,"{(-2, -2): 1, (-1, -1): 4, (0, 0): 7, (1, 1): 4, (2, 2): 1}",17,False,0,2,0,0
K9n4,True,3,2,"{(-2, -1): 1, (-1, 0): 6, (0, 1): 9, (1, 2): 6, (2, 3): 1}",23,False,-1,2,0,-1
K9n5,False,NaN,1,"{(-1, -1): 2, (0, 0): 5, (1, 1): 2}",9,False,0,2,0,0
K9n6,True,2,3,"{(-3, -4): 1, (-2, -3): 4, (-1, -2): 6, (0, -1): 5, (1, 0): 6, (2, 1): 4, (3, 2): 1}",27,False,1,2,1,1
K9n7,True,3,2,"{(-2, -1): 1, (-1, 0): 7, (0, 1): 11, (1, 2): 7, (2, 3): 1}",27,False,-1,2,0,-1
K9n8,False,NaN,2,"{(-2, -4): 3, (-1, -3): 6, (0, -2): 7, (1, -1): 6, (2, 0): 3}",25,False,1,2,2,2
